,P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP,R,CABR,CPR,inicio,varinicio,varfim,PT_V,ID,VIR,inteiro,real,literal,leia,escreva,LIT,NUM,RCB,OPM,se,AB_P,FC_P,entao,por,fimse,repita,fimrepita,fim,OPR,EOF
10,,,,,,,,,,,,,,,,,,,,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,R39
11,,,,,,,,,,,,,,,,,,,,et29,et29,et29,et29,S29,et29,et29,et29,et29,et29,et29,et29,et29,et29,et29,et29,et29,et29,et29,et29,et29,et29,et29,et29,et29,et29
12,,,,,,,,,30,,,,,,,,,,,et4,et4,et4,et4,S33,et4,et4,et4,et4,et4,et4,S31,S32,et4,et4,et4,et4,et4,et4,et4,et4,et4,et4,et4,et4,et4
13,,,,,,,,,,,,,,,,,,,,et5/e1,et5/e1,et5/e1,et5/e1,et5/e1,et5/e1,et5/e1,et5/e1,et5/e1,et5/e1,et5/e1,et5/e1,et5/e1,S34,et5/e1,et5/e1,et5/e1,et5/e1,et5/e1,et5/e1,et5/e1,et5/e1,et5/e1,et5/e1,et5/e1,et5/e1
14,,,,,,,,36,,37,,,38,14,,35,,,,e1,e1,e1,e1,S13,e1,e1,e1,e1,S11,S12,e1,e1,e1,e1,S16,e1,e1,e1,e1,S39,e1,e1,e1,e1,e1
15,,,,,,,,41,,42,,,43,14,,,,,40,e1,e1,e1,e1,S13,e1,e1,e1,e1,S11,S12,e1,e1,e1,e1,S16,e1,e1,e1,e1,e1,e1,S47,e1,e1,e1
16,,,,,,,,,,,,,,,,,,,,et8,et8,et8,et8,et8,et8,et8,et8,et8,et8,et8,et8,et8,et8,et8,et8,S44,et8,et8,et8,et8,et8,et8,et8,et8,et8
17,,,,,,,,,,,,,,,,,,,,et8,et8,et8,et8,et8,et8,et8,et8,et8,et8,et8,et8,et8,et8,et8,et8,S45,et8,et8,et8,et8,et8,et8,et8,et8,et8
18,,,,,,,,,,,,,,,,,,,,e1,e1,e1,e1,R3,e1,e1,e1,e1,R3,R3,e1,e1,e1,e1,R3,e1,e1,e1,e1,e1,R3,e1,R3,e1,
19,,,46,19,,21,,,,,,,,,,,,,,e1,e1,S20,e1,e1,e1,S22,S23,S24,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1
20,,,,,,,,,,,,,,,,,,,,et3,et3,et3,S48,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3
21,,,,,49,,,,,,,,,,,,,,,e1,e1,e1,e1,S50,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1
22,,,,,,,,,,,,,,,,,,,,et20,et20,et20,et20,R9,et20,et20,et20,et20,et20,et20,et20,et20,et20,et20,et20,et20,et20,et20,et20,et20,et20,et20,et20,et20,et20
23,,,,,,,,,,,,,,,,,,,,et21,et21,et21,et21,R10,et21,et21,et21,et21,et21,et21,et21,et21,et21,et21,et21,et21,et21,et21,et21,et21,et21,et21,et21,et21,et21
